hospName,topWait,updateTime,updateDate
Queen Elizabeth Hospital,6.5,2019-04-19 01:30:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 01:30:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 01:30:00,2019-04-19
St John Hospital,0.5,2019-04-19 01:30:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 01:30:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 01:30:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 01:30:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 01:30:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 01:30:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 01:45:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 01:45:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 01:45:00,2019-04-19
North District Hospital,7.5,2019-04-19 01:45:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 01:45:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 01:45:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 01:45:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 01:45:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 01:45:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 01:45:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 01:45:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 01:45:00,2019-04-19
St John Hospital,0.5,2019-04-19 01:45:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 01:45:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 01:45:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 01:45:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 01:45:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 01:45:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 02:00:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 02:00:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 02:00:00,2019-04-19
North District Hospital,5.5,2019-04-19 02:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 02:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 02:00:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 02:00:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 02:00:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 02:00:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 02:00:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 02:00:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 02:00:00,2019-04-19
St John Hospital,0.5,2019-04-19 02:00:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 02:00:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 02:00:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 02:00:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 02:00:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 02:00:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 02:15:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 02:15:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 02:15:00,2019-04-19
North District Hospital,5.5,2019-04-19 02:15:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 02:15:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 02:15:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 02:15:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 02:15:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 02:15:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 02:15:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 02:15:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 02:15:00,2019-04-19
St John Hospital,0.5,2019-04-19 02:15:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 02:15:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 02:15:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 02:15:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 02:15:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 02:15:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 02:30:00,2019-04-19
Caritas Medical Centre,5.5,2019-04-19 02:30:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 02:30:00,2019-04-19
North District Hospital,4.5,2019-04-19 02:30:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 02:30:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 02:30:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 02:30:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 02:30:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 02:30:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 02:30:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 02:30:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 02:30:00,2019-04-19
St John Hospital,0.5,2019-04-19 02:30:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 02:30:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 02:30:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 02:30:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 02:30:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 02:30:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 02:45:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 02:45:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 02:45:00,2019-04-19
North District Hospital,4.5,2019-04-19 02:45:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 02:45:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 02:45:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 02:45:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 02:45:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 02:45:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 02:45:00,2019-04-19
Queen Mary Hospital,1.5,2019-04-19 02:45:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 02:45:00,2019-04-19
St John Hospital,0.5,2019-04-19 02:45:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 02:45:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 02:45:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 02:45:00,2019-04-19
United Christian Hospital,2.5,2019-04-19 02:45:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 02:45:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 03:00:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 03:00:00,2019-04-19
Kwong Wah Hospital,4.5,2019-04-19 03:00:00,2019-04-19
North District Hospital,7.5,2019-04-19 03:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 03:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 03:00:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 03:00:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 03:00:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 03:00:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 03:00:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 03:00:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 03:00:00,2019-04-19
St John Hospital,0.5,2019-04-19 03:00:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 03:00:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 03:00:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 03:00:00,2019-04-19
United Christian Hospital,4.5,2019-04-19 03:00:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 03:00:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 03:15:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 03:15:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 03:15:00,2019-04-19
North District Hospital,7.5,2019-04-19 03:15:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 03:15:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 03:15:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 03:15:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 03:15:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 03:15:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 03:15:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 03:15:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 03:15:00,2019-04-19
St John Hospital,0.5,2019-04-19 03:15:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 03:15:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 03:15:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 03:15:00,2019-04-19
United Christian Hospital,4.5,2019-04-19 03:15:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 03:15:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 03:30:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 03:30:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 03:30:00,2019-04-19
North District Hospital,7.5,2019-04-19 03:30:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 03:30:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 03:30:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 03:30:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 03:30:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 03:30:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 03:30:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 03:30:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 03:30:00,2019-04-19
St John Hospital,0.5,2019-04-19 03:30:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 03:30:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 03:30:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 03:30:00,2019-04-19
United Christian Hospital,4.5,2019-04-19 03:30:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 03:30:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 03:45:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 03:45:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 03:45:00,2019-04-19
North District Hospital,7.5,2019-04-19 03:45:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 03:45:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 03:45:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 03:45:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 03:45:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 03:45:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 03:45:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 03:45:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 03:45:00,2019-04-19
St John Hospital,0.5,2019-04-19 03:45:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 03:45:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 03:45:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 03:45:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 03:45:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 03:45:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 04:00:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 04:00:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 04:00:00,2019-04-19
North District Hospital,7.5,2019-04-19 04:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 04:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 04:00:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 04:00:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 04:00:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 04:00:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 04:00:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 04:00:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 04:00:00,2019-04-19
St John Hospital,0.5,2019-04-19 04:00:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 04:00:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 04:00:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 04:00:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 04:00:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 04:00:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 04:15:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 04:15:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 04:15:00,2019-04-19
North District Hospital,7.5,2019-04-19 04:15:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 04:15:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 04:15:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 04:15:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 04:15:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 04:15:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 04:15:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 04:15:00,2019-04-19
Ruttonjee Hospital,2.5,2019-04-19 04:15:00,2019-04-19
St John Hospital,0.5,2019-04-19 04:15:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 04:15:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 04:15:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 04:15:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 04:15:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 04:15:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 04:30:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 04:30:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 04:30:00,2019-04-19
North District Hospital,7.5,2019-04-19 04:30:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 04:30:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 04:30:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 04:30:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 04:30:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 04:30:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 04:30:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 04:30:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 04:30:00,2019-04-19
St John Hospital,0.5,2019-04-19 04:30:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 04:30:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 04:30:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 04:30:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 04:30:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 04:30:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,2.5,2019-04-19 04:45:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 04:45:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 04:45:00,2019-04-19
North District Hospital,5.5,2019-04-19 04:45:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 04:45:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 04:45:00,2019-04-19
Pok Oi Hospital,1.5,2019-04-19 04:45:00,2019-04-19
Prince of Wales Hospital,8.5,2019-04-19 04:45:00,2019-04-19
Pamela Youde Nethersole Eastern Hospital,4.5,2019-04-19 04:45:00,2019-04-19
Queen Elizabeth Hospital,6.5,2019-04-19 04:45:00,2019-04-19
Queen Mary Hospital,2.5,2019-04-19 04:45:00,2019-04-19
Ruttonjee Hospital,1.5,2019-04-19 04:45:00,2019-04-19
St John Hospital,0.5,2019-04-19 04:45:00,2019-04-19
Tseung Kwan O Hospital,5.5,2019-04-19 04:45:00,2019-04-19
Tuen Mun Hospital,4.5,2019-04-19 04:45:00,2019-04-19
Tin Shui Wai Hospital,1.5,2019-04-19 04:45:00,2019-04-19
United Christian Hospital,3.5,2019-04-19 04:45:00,2019-04-19
Yan Chai Hospital,5.5,2019-04-19 04:45:00,2019-04-19
Alice Ho Miu Ling Nethersole Hospital,1.5,2019-04-19 05:00:00,2019-04-19
Caritas Medical Centre,3.5,2019-04-19 05:00:00,2019-04-19
Kwong Wah Hospital,3.5,2019-04-19 05:00:00,2019-04-19
North District Hospital,5.5,2019-04-19 05:00:00,2019-04-19
North Lantau Hospital,0.5,2019-04-19 05:00:00,2019-04-19
Princess Margaret Hospital,4.5,2019-04-19 05:00:00,2019-04-19
